Column Name,Type
MSSubClass,Categorical
MSZoning,Categorical
Street,Categorical
Alley,Categorical
LotShape,Categorical
LandContour,Categorical
Utilities,Categorical
LotConfig,Categorical
LandSlope,Categorical
Neighborhood,Categorical
Condition1,Categorical
Condition2,Categorical
BldgType,Categorical
HouseStyle,Categorical
RoofStyle,Categorical
RoofMatl,Categorical
Exterior1st,Categorical
Exterior2nd,Categorical
MasVnrType,Categorical
ExterQual,Categorical
ExterCond,Categorical
Foundation,Categorical
BsmtQual,Categorical
BsmtCond,Categorical
BsmtExposure,Categorical
BsmtFinType1,Categorical
BsmtFinType2,Categorical
Heating,Categorical
HeatingQC,Categorical
CentralAir,Categorical
Electrical,Categorical
KitchenQual,Categorical
Functional,Categorical
FireplaceQu,Categorical
GarageType,Categorical
GarageFinish,Categorical
GarageQual,Categorical
GarageCond,Categorical
PavedDrive,Categorical
PoolQC,Categorical
Fence,Categorical
MiscFeature,Categorical
SaleType,Categorical
SaleCondition,Categorical
LotFrontage,Numerical
LotArea,Numerical
OverallQual,Numerical
OverallCond,Numerical
YearBuilt,Numerical
YearRemodAdd,Numerical
MasVnrArea,Numerical
BsmtFinSF1,Numerical
BsmtFinSF2,Numerical
BsmtUnfSF,Numerical
TotalBsmtSF,Numerical
1stFlrSF,Numerical
2ndFlrSF,Numerical
LowQualFinSF,Numerical
GrLivArea,Numerical
BsmtFullBath,Numerical
BsmtHalfBath,Numerical
FullBath,Numerical
HalfBath,Numerical
BedroomAbvGr,Numerical
KitchenAbvGr,Numerical
TotRmsAbvGrd,Numerical
Fireplaces,Numerical
GarageYrBlt,Numerical
GarageCars,Numerical
GarageArea,Numerical
WoodDeckSF,Numerical
OpenPorchSF,Numerical
EnclosedPorch,Numerical
3SsnPorch,Numerical
ScreenPorch,Numerical
PoolArea,Numerical
MiscVal,Numerical
MoSold,Numerical
YrSold,Numerical
Id,Special
SalePrice,Special
